id,item_id,category_name,最大月銷量,最小月銷量,熱銷程度,update_time
419,172368968,耳機喇叭,1,1,滯銷,2018-05-14
420,257075397,耳機喇叭,1,1,滯銷,2018-05-14
421,926507172,耳機喇叭,1,1,滯銷,2018-05-14
422,1021651012,耳機喇叭,1,1,滯銷,2018-05-14
423,272273279,耳機喇叭,1,1,滯銷,2018-05-14
424,129695120,耳機喇叭,1,1,滯銷,2018-05-14
425,116576458,耳機喇叭,1,1,滯銷,2018-05-14
426,249796254,耳機喇叭,1,1,滯銷,2018-05-14
427,410316889,耳機喇叭,1,1,滯銷,2018-05-14
428,78512711,耳機喇叭,1,1,滯銷,2018-05-14
429,100809436,耳機喇叭,1,1,滯銷,2018-05-14
430,886335042,耳機喇叭,1,1,滯銷,2018-05-14
431,892035190,耳機喇叭,1,1,滯銷,2018-05-14
432,205361527,耳機喇叭,1,0,滯銷,2018-05-14
433,323307472,耳機喇叭,1,1,滯銷,2018-05-14
434,235175946,耳機喇叭,1,1,滯銷,2018-05-14
435,660838809,耳機喇叭,1,1,滯銷,2018-05-14
436,41844943,耳機喇叭,1,1,滯銷,2018-05-14
437,314399866,耳機喇叭,1,1,滯銷,2018-05-14
438,932825810,耳機喇叭,1,1,滯銷,2018-05-14
439,111493679,耳機喇叭,1,1,滯銷,2018-05-14
440,196147587,耳機喇叭,1,1,滯銷,2018-05-14
441,138700440,耳機喇叭,1,1,滯銷,2018-05-14
442,3630221,耳機喇叭,1,1,滯銷,2018-05-14
443,635394508,耳機喇叭,1,1,滯銷,2018-05-14
444,936127121,耳機喇叭,1,1,滯銷,2018-05-14
445,962097225,耳機喇叭,1,1,滯銷,2018-05-14
446,886628389,耳機喇叭,1,0,滯銷,2018-05-14
447,867992699,耳機喇叭,1,1,滯銷,2018-05-14
448,262709767,耳機喇叭,1,1,滯銷,2018-05-14
449,379391357,耳機喇叭,1,0,滯銷,2018-05-14
450,276666228,耳機喇叭,1,1,滯銷,2018-05-14
451,189809547,耳機喇叭,1,1,滯銷,2018-05-14
452,224799070,耳機喇叭,1,1,滯銷,2018-05-14
453,121867390,耳機喇叭,1,1,滯銷,2018-05-14
454,1013549917,耳機喇叭,1,1,滯銷,2018-05-14
455,1032915111,耳機喇叭,1,1,滯銷,2018-05-14
456,618720493,耳機喇叭,1,1,滯銷,2018-05-14
457,18278755,耳機喇叭,1,1,滯銷,2018-05-14
458,3909029,耳機喇叭,1,1,滯銷,2018-05-14
459,894055896,耳機喇叭,1,1,滯銷,2018-05-14
460,100057121,耳機喇叭,1,1,滯銷,2018-05-14
