item_id,product_name,item_name,item_price,item_stock
42048075,Annabon寶石果凍貼鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_棋盤水鑽_手機殼套保護殼套_鮮豔_色彩寶藍紅色大紅粉紅,2號,350,2
148736946,三星_Tab_J_七吋_4G可通話平板,白,3999,2
13862454,猴寶貝Iphone6_5_隨插即用強力風扇超涼爽,黑,85,1
13862454,猴寶貝Iphone6_5_隨插即用強力風扇超涼爽,白,85,2
13862454,猴寶貝Iphone6_5_隨插即用強力風扇超涼爽,橘,,0
13862454,猴寶貝Iphone6_5_隨插即用強力風扇超涼爽,藍,85,1
42048081,Annabon大蝴蝶結水鑽貼鑽金色zenfone2_5吋ze500cl55吋_ze551ml手機殼保護殼套透明,5吋,450,2
42048081,Annabon大蝴蝶結水鑽貼鑽金色zenfone2_5吋ze500cl55吋_ze551ml手機殼保護殼套透明,55吋,450,2
42067455,Annabon荷包蛋檸檬五花肉西瓜zenfone2laser5吋55吋Selfie55吋仿真食玩手機殼保護殼,1號,290,2
42067455,Annabon荷包蛋檸檬五花肉西瓜zenfone2laser5吋55吋Selfie55吋仿真食玩手機殼保護殼,2號,290,2
42067455,Annabon荷包蛋檸檬五花肉西瓜zenfone2laser5吋55吋Selfie55吋仿真食玩手機殼保護殼,3號,290,2
42067455,Annabon荷包蛋檸檬五花肉西瓜zenfone2laser5吋55吋Selfie55吋仿真食玩手機殼保護殼,4號,290,2
42067455,Annabon荷包蛋檸檬五花肉西瓜zenfone2laser5吋55吋Selfie55吋仿真食玩手機殼保護殼,5號,290,2
42067455,Annabon荷包蛋檸檬五花肉西瓜zenfone2laser5吋55吋Selfie55吋仿真食玩手機殼保護殼,6號,290,5
42067455,Annabon荷包蛋檸檬五花肉西瓜zenfone2laser5吋55吋Selfie55吋仿真食玩手機殼保護殼,7號,290,5
