item_id,product_name,ship_name,ship_price
751918169,ROIDMI音樂藍牙車充_音樂播放_車載充電_免提通話,中華郵政,50
751918169,ROIDMI音樂藍牙車充_音樂播放_車載充電_免提通話,賣家宅配,90
1006697621,滿膠25DASUS_Zenfone_LiveZB501KLA0075吋_亮面白_全屏_滿版鋼化玻璃9H硬度,黑貓宅急便,90
1006697621,滿膠25DASUS_Zenfone_LiveZB501KLA0075吋_亮面白_全屏_滿版鋼化玻璃9H硬度,7-11,60
1006697621,滿膠25DASUS_Zenfone_LiveZB501KLA0075吋_亮面白_全屏_滿版鋼化玻璃9H硬度,全家,60
1006697621,滿膠25DASUS_Zenfone_LiveZB501KLA0075吋_亮面白_全屏_滿版鋼化玻璃9H硬度,萊爾富,60
1006697621,滿膠25DASUS_Zenfone_LiveZB501KLA0075吋_亮面白_全屏_滿版鋼化玻璃9H硬度,中華郵政,100
1006697621,滿膠25DASUS_Zenfone_LiveZB501KLA0075吋_亮面白_全屏_滿版鋼化玻璃9H硬度,賣家宅配,100
606007990,ASUS__Zenfone46G64GBZE554KL12000可搭配各大電信攜碼折扣,賣家宅配,0
1013816008,幻彩鐳射小鹿公主蘋果8plus手機殼iPhoneX76S可愛皮質保護套女,黑貓宅急便,210
1013816008,幻彩鐳射小鹿公主蘋果8plus手機殼iPhoneX76S可愛皮質保護套女,7-11,30
1013816008,幻彩鐳射小鹿公主蘋果8plus手機殼iPhoneX76S可愛皮質保護套女,全家,30
1013816008,幻彩鐳射小鹿公主蘋果8plus手機殼iPhoneX76S可愛皮質保護套女,萊爾富,30
1013816008,幻彩鐳射小鹿公主蘋果8plus手機殼iPhoneX76S可愛皮質保護套女,賣家宅配,80
996024931,iPad_Mini_1_2_3_日本麵包超人平板套_智慧休眠_防摔抗震皮套_可立式掀蓋皮套_外磁扣_麵包超人平板保護套,7-11,60
996024931,iPad_Mini_1_2_3_日本麵包超人平板套_智慧休眠_防摔抗震皮套_可立式掀蓋皮套_外磁扣_麵包超人平板保護套,全家,60
996024931,iPad_Mini_1_2_3_日本麵包超人平板套_智慧休眠_防摔抗震皮套_可立式掀蓋皮套_外磁扣_麵包超人平板保護套,萊爾富,60
854031447,聊聊詢問可享折扣_Bitplay_二代_HD高畫質廣角鏡頭,7-11,60
854031447,聊聊詢問可享折扣_Bitplay_二代_HD高畫質廣角鏡頭,全家,60
